Status,Age,Income,Client_Dependents,Tenure_Months,Products,Inactive_Months,Bank_Contacts,Credit_Limit,Revolving_Bal,Avg_OpenToBuy,Total_Trans_Amount,Trans_Count,Utilization_Ratio,Riesgo_Impago,Riesgo_Abandono,Puntaje_Riesgo
Existing Customer,45,70000.0,3,39,5,1,3,12691.0,777,11914.0,1144,42,0.061,no_riesgo,Bajo,0.03283913043478261
Existing Customer,49,20000.0,5,44,6,1,2,8256.0,864,7392.0,1291,33,0.105,no_riesgo,Bajo,0.0632
Existing Customer,51,100000.0,3,36,4,1,0,3418.0,0,3418.0,1887,20,0.0,no_riesgo,Bajo,0.019230769230769232
Existing Customer,40,20000.0,4,34,3,4,1,3313.0,2517,796.0,1171,20,0.76,no_riesgo,Alto,0.150240243902439
Existing Customer,40,70000.0,3,21,5,1,0,4716.0,0,4716.0,816,28,0.0,no_riesgo,Bajo,0.024390243902439025
Existing Customer,44,50000.0,2,36,3,1,2,4010.0,1247,2763.0,1088,24,0.311,no_riesgo,Bajo,0.04716222222222222
Existing Customer,51,120000.0,4,46,6,1,3,4549.0,2264,3474.0,1330,31,0.066,no_riesgo,Bajo,0.0380974358974359
Existing Customer,32,70000.0,0,27,2,2,2,4549.0,1396,3474.0,1538,36,0.048,no_riesgo,Bajo,0.05024588744588745
Existing Customer,37,70000.0,3,36,5,2,0,22352.0,2517,19835.0,1350,24,0.113,no_riesgo,Bajo,0.06227293233082706
Existing Customer,48,100000.0,2,36,6,3,3,11656.0,1677,9979.0,1441,32,0.144,no_riesgo,Bajo,0.037178163265306124
Existing Customer,42,120000.0,5,31,5,3,2,6748.0,1467,5281.0,1201,42,0.217,no_riesgo,Bajo,0.03548081395348837
Existing Customer,46,50000.0,1,54,6,2,3,9095.0,1587,7508.0,1314,26,0.174,no_riesgo,Bajo,0.053016595744680844
Existing Customer,56,100000.0,1,36,3,6,0,11751.0,0,11751.0,1539,64,0.0,no_riesgo,Bajo,0.017543859649122806
Existing Customer,35,70000.0,3,30,5,1,3,8547.0,1666,6881.0,1311,33,0.195,no_riesgo,Bajo,0.05157777777777778
Existing Customer,57,20000.0,2,48,5,2,2,2436.0,680,1756.0,1570,29,0.279,no_riesgo,Bajo,0.05124137931034483
Existing Customer,44,100000.0,4,37,5,1,2,4234.0,972,3262.0,1348,27,0.23,no_riesgo,Bajo,0.03194222222222222
Existing Customer,48,100000.0,4,36,6,2,3,4549.0,2362,3474.0,1671,27,0.078,no_riesgo,Bajo,0.04402816326530612
Existing Customer,41,100000.0,3,34,4,4,1,13535.0,1291,12244.0,1028,21,0.095,no_riesgo,Bajo,0.036719523809523806
Existing Customer,61,50000.0,1,56,2,2,3,3193.0,2517,676.0,1336,30,0.788,no_riesgo,Bajo,0.06646903225806453
Existing Customer,45,50000.0,2,37,6,1,2,14470.0,1157,13313.0,1207,21,0.08,no_riesgo,Bajo,0.04487913043478261
Existing Customer,47,70000.0,1,42,5,2,0,20979.0,1800,19179.0,1178,27,0.086,no_riesgo,Bajo,0.046547619047619046
Attrited Customer,62,20000.0,0,49,2,3,3,1438.3,0,1438.3,692,64,0.0,riesgo,Bajo,0.015873015873015872
Existing Customer,41,50000.0,3,33,4,2,1,4470.0,680,3790.0,931,18,0.152,no_riesgo,Bajo,0.03740952380952381
Existing Customer,47,20000.0,4,36,3,3,2,2492.0,1560,932.0,1126,23,0.626,no_riesgo,Medio,0.09883333333333333
Existing Customer,54,100000.0,2,42,4,2,3,12217.0,0,12217.0,1110,21,0.0,no_riesgo,Bajo,0.01818181818181818
Existing Customer,41,20000.0,3,28,6,1,2,7768.0,1669,6099.0,1051,22,0.215,no_riesgo,Bajo,0.1072595238095238
Existing Customer,59,50000.0,1,46,4,1,2,14784.0,1374,13410.0,1197,23,0.093,no_riesgo,Bajo,0.04414666666666667
Existing Customer,46,70000.0,1,56,3,3,2,10215.0,1010,9205.0,1904,40,0.099,no_riesgo,Bajo,0.03570516717325228
Existing Customer,44,50000.0,3,34,5,2,2,10100.0,0,10100.0,1052,18,0.0,no_riesgo,Bajo,0.022222222222222223
Existing Customer,47,50000.0,4,42,6,0,0,4785.0,1362,3423.0,1045,38,0.285,no_riesgo,Bajo,0.04807333333333333
Existing Customer,53,100000.0,3,33,3,2,3,2753.0,1811,942.0,1038,25,0.658,no_riesgo,Medio,0.03662851851851852
Existing Customer,53,70000.0,2,48,2,5,1,2451.0,1690,761.0,1596,26,0.69,no_riesgo,Medio,0.042661375661375664
Existing Customer,41,70000.0,4,36,4,1,2,8923.0,2517,6406.0,1589,24,0.282,no_riesgo,Bajo,0.05976666666666666
Existing Customer,53,20000.0,2,38,5,2,3,2650.0,1490,1160.0,1411,28,0.562,no_riesgo,Bajo,0.09301851851851851
Existing Customer,58,100000.0,0,49,6,2,2,12555.0,1696,10859.0,1291,24,0.135,no_riesgo,Bajo,0.03390915254237288
Existing Customer,55,20000.0,1,36,4,2,1,3520.0,1914,1606.0,1407,43,0.544,no_riesgo,Bajo,0.11355714285714286
Existing Customer,55,20000.0,3,36,6,2,3,3035.0,2298,737.0,1877,37,0.757,no_riesgo,Alto,0.13275714285714285
Existing Customer,42,20000.0,4,36,2,3,3,15433.0,0,15433.0,966,22,0.0,no_riesgo,Bajo,0.023255813953488372
Existing Customer,57,50000.0,1,49,3,3,2,3672.0,886,2786.0,1464,28,0.241,no_riesgo,Bajo,0.03496137931034483
Attrited Customer,46,50000.0,0,56,5,4,3,7882.0,605,7277.0,704,64,0.077,no_riesgo,Bajo,0.033376595744680854
Existing Customer,45,100000.0,3,41,2,2,2,4549.0,578,3474.0,1109,28,0.018,no_riesgo,Bajo,0.02751913043478261
Existing Customer,51,50000.0,2,44,4,1,0,6205.0,2204,4001.0,1347,28,0.355,no_riesgo,Bajo,0.06331076923076923
Existing Customer,50,50000.0,1,43,3,2,3,17304.0,2517,14787.0,1756,33,0.145,no_riesgo,Bajo,0.06994784313725491
Existing Customer,49,70000.0,3,37,5,2,1,3906.0,0,3906.0,1756,32,0.0,no_riesgo,Bajo,0.02
Existing Customer,38,50000.0,4,28,2,3,3,9830.0,2055,7775.0,1042,23,0.209,no_riesgo,Bajo,0.06674102564102563
Existing Customer,49,100000.0,4,30,3,2,3,4549.0,0,3474.0,1444,28,0.0,no_riesgo,Bajo,0.02
Existing Customer,56,70000.0,2,45,6,2,0,2283.0,1430,853.0,1741,27,0.626,no_riesgo,Bajo,0.037972431077694234
Existing Customer,59,50000.0,1,52,3,2,2,2548.0,2020,528.0,1719,27,0.793,no_riesgo,Bajo,0.05706666666666667
Existing Customer,46,100000.0,3,40,4,3,3,19458.0,1435,18023.0,1217,27,0.074,no_riesgo,Bajo,0.03562659574468085
Existing Customer,52,100000.0,1,40,5,1,1,4745.0,1227,3518.0,1140,40,0.259,no_riesgo,Bajo,0.031137924528301886
Existing Customer,52,20000.0,3,41,6,3,2,2622.0,1549,1073.0,1878,30,0.591,no_riesgo,Bajo,0.09631792452830189
